Year Last Modified,Count
2009,2373
2008,1481
2007,1178
2006,1003
2005,945
2004,776
2003,645
2002,437
2001,329
2000,261
1999,183
1998,162
1997,145
1996,54
1995,36
1994,12
1991,2
1990,2
1993,1
1992,1
1979,1
1969,1
